ticket_id,department,issue_category,date_reported,status
TCKT-0001,HR,Leave Balance Issue,2024-10-25,Resolved
TCKT-0002,Operations,Order Delay,2025-03-29,Resolved
TCKT-0003,Operations,Inventory Mismatch,2024-08-20,Unresolved
TCKT-0004,HR,Profile Update Request,2024-09-18,Resolved
TCKT-0005,IT,Software Crash,2024-09-05,Resolved
TCKT-0006,HR,Profile Update Request,2025-07-19,Unresolved
TCKT-0007,Finance,Refund Request,2024-11-17,Unresolved
TCKT-0008,HR,Payslip Not Accessible,2025-04-02,Resolved
TCKT-0009,Operations,Order Delay,2024-09-04,Resolved
TCKT-0010,Operations,Shipping Issue,2025-02-26,Resolved
TCKT-0011,Operations,Shipping Issue,2025-03-20,Resolved
TCKT-0012,Operations,Order Delay,2024-10-10,Resolved
TCKT-0013,Sales,CRM Login Issue,2025-05-26,Resolved
TCKT-0014,HR,Payslip Not Accessible,2025-03-18,Resolved
TCKT-0015,Finance,Incorrect Billing,2025-02-11,Unresolved
TCKT-0016,HR,Profile Update Request,2025-06-11,Unresolved
TCKT-0017,Operations,Inventory Mismatch,2025-07-18,Resolved
TCKT-0018,Sales,Lead Assignment Problem,2024-09-08,Resolved
TCKT-0019,Sales,Missing Sales Data,2025-05-19,Resolved
TCKT-0020,Finance,Incorrect Billing,2024-09-25,Resolved
TCKT-0021,HR,Profile Update Request,2024-12-11,Resolved
TCKT-0022,Operations,Order Delay,2025-05-06,Resolved
TCKT-0023,IT,Laptop Not Booting,2025-08-04,Resolved
TCKT-0024,HR,Leave Balance Issue,2024-08-12,Resolved
TCKT-0025,Sales,Missing Sales Data,2025-04-22,Resolved
TCKT-0026,Sales,CRM Login Issue,2024-10-16,Unresolved
TCKT-0027,Operations,Shipping Issue,2025-05-07,Resolved
TCKT-0028,Operations,Shipping Issue,2024-09-15,Resolved
TCKT-0029,Sales,Lead Assignment Problem,2025-01-26,Resolved
TCKT-0030,Operations,Shipping Issue,2025-04-07,Unresolved
TCKT-0031,Operations,Inventory Mismatch,2025-03-01,Resolved
TCKT-0032,HR,Leave Balance Issue,2025-07-25,Resolved
TCKT-0033,Operations,Shipping Issue,2025-03-11,Unresolved
TCKT-0034,HR,Leave Balance Issue,2024-08-28,Resolved
TCKT-0035,Finance,Refund Request,2024-10-29,Resolved
TCKT-0036,HR,Payslip Not Accessible,2024-10-18,Resolved
TCKT-0037,Operations,Inventory Mismatch,2024-08-18,Unresolved
TCKT-0038,Sales,Lead Assignment Problem,2025-07-16,Resolved
TCKT-0039,Finance,Payment Failure,2025-06-23,Resolved
TCKT-0040,Finance,Incorrect Billing,2025-04-03,Resolved
TCKT-0041,Sales,Missing Sales Data,2025-04-02,Resolved
